Date,Time,Location,Subregion,Operator,FlightType,Cause,Aboard,Fatalities,FatalityRate
05/07/1953,,"Off Hartland Point, England",Northern Europe,Military - Royal Air Force,military,cfit,10.0,10.0,1.0
05/09/1953,01:28,"New Delhi, India",Southern Asia,Air India,commercial,pilot_error,18.0,18.0,1.0
05/11/1953,,"Prince Rupert, BC, Canada",Northern America,Canadian PacifiAir Lines,commercial,unknown,19.0,2.0,0.10526315789473684
05/17/1953,14:15,"Near Marshall, Texas",Northern America,Delta Air Lines,commercial,"mechanical, weather",20.0,19.0,0.95
05/25/1953,15:30,"Amsterdam, Netherlands",Western Europe,KLM Royal Dutch Airlines,commercial,unknown,34.0,0.0,0.058823529411764705
06/15/1953,,"Near Copiapo, Chile",South America,LAN,commercial,"fire, mechanical",7.0,7.0,1.0
06/15/1953,,"San Ramon Mtns., Costa Rica",Central America,LACSA,commercial,"weather, cfit",14.0,11.0,0.7857142857142857
06/16/1953,,"Phou-Lassy, French Indo-China",South-eastern Asia,Aigle Azur,commercial,"shot_down, fire",34.0,34.0,1.0
06/17/1953,,"Sao Paulo, Brazil",South America,Panair do Brasil,commercial,"weather, pilot_error",17.0,17.0,1.0
06/18/1953,16:34,"Tachikawa AFB, Tokyo, Japan",Eastern Asia,Military - U.S. Air Force,military,"mechanical, pilot_error",129.0,129.0,1.0
07/12/1953,08:41,"PacifiOcean, 325 miles east of Wake Island",Micronesia,Transocean Air Lines,commercial,"sabotage, weather, cfit",58.0,58.0,1.0
07/17/1953,23:15,"Near Milton, Florida",Northern America,Military - U.S. Navy,military,"mechanical, cfit, pilot_error",46.0,44.0,0.9565217391304348
07/27/1953,12:30,"Near Kanggye, North Korea",Eastern Asia,Aeroflot,commercial,shot_down,21.0,21.0,1.0
09/29/1955,,"Yellowknife, Northwest Territory, Canada",Northern America,Associated Airways,commercial,"fuel, cfit",2.0,1.0,0.5
08/03/1953,02:28,"Off Fethiye Point, Turkey",Western Asia,Air France,commercial,mechanical,42.0,4.0,0.09523809523809523
08/03/1953,22:37,"Sharjah, United Arab Emirates",Western Asia,Orient Airways,commercial,mechanical,25.0,1.0,0.04
08/05/1953,,Off Irish coast,unknown,Military - U.S. Air Force,military,unknown,23.0,14.0,0.6086956521739131
08/18/1953,,"Near San Diego, California",Northern America,Aerovias Contreras,commercial,cfit,2.0,2.0,1.0
09/01/1953,,"Near Barcelonnette, France",Western Europe,Air France,commercial,"cfit, pilot_error",42.0,42.0,1.0
09/01/1953,18:42,"Vail, Washington",Northern America,Regina Cargo Airlines,commercial,weather,21.0,21.0,1.0
09/08/1953,13:16,"San Andres, Honduras",Central America,TACA,commercial,mechanical,3.0,3.0,1.0
09/14/1953,,"Chablekal, Mexico",Central America,Transportes Aéreos Mexicanos,commercial,"weather, cfit",2.0,1.0,0.5
09/16/1953,08:34,"Albany, New York",Northern America,American Airlines,commercial,"mechanical, weather",28.0,28.0,1.0
09/25/1953,,"Ankara, Turkey",Western Asia,Devlet Hava Yollari,commercial,"fire, mechanical",21.0,5.0,0.23809523809523808
09/28/1953,16:18,"Louisville, Kentucky",Northern America,Resort Airlines,commercial,"mechanical, pilot_error",41.0,25.0,0.6097560975609756
10/14/1953,,"Frankfurt, Germany",Western Europe,Sabena,commercial,mechanical,44.0,44.0,1.0
10/17/1953,,"Lai Chau, Vietnam",South-eastern Asia,Compagnie Sila,commercial,unknown,7.0,2.0,0.2857142857142857
10/19/1953,13:00,"Near Monterrey, Mexico",Central America,Aerovias Contreras,commercial,cfit,21.0,21.0,1.0
10/19/1953,00:56,"New York City, New York",Northern America,Eastern Air Lines,commercial,weather,27.0,2.0,0.07407407407407407
10/29/1953,08:44,"Near Half Moon Bay, California",Northern America,British Commonwealth PacifiAirlines,commercial,"mechanical, weather, cfit, pilot_error",19.0,19.0,1.0
11/03/1953,,"Potosi, Bolivia",South America,Lloyd Aereo Boliviano,commercial,cfit,28.0,28.0,1.0
11/11/1953,17:30,"Off Argyll, England",Northern Europe,Military - Royal Air Force,military,unknown,10.0,10.0,1.0
12/04/1953,,"Mt. Somosierra, Spain",Southern Europe,Aviaco,commercial,weather,33.0,23.0,0.696969696969697
12/12/1953,,"Nagpur, India",Southern Asia,Indian Airlines,commercial,"fire, mechanical",14.0,13.0,0.9285714285714286
12/19/1953,,"Zurich, Switzerland",Western Europe,Sabena,commercial,"weather, pilot_error",44.0,1.0,0.022727272727272728
12/21/1953,,"Dah-el-Kadeeb, Syria",Western Asia,Syrian Airways,commercial,unknown,15.0,9.0,0.6
01/02/1954,,"Herat, Afghanstan",unknown,Ariana Afghan Airlines,commercial,unknown,21.0,21.0,1.0
01/05/1954,,"Lapseki, Turkey",Western Asia,Devlet Hava Yollari,commercial,cfit,10.0,4.0,0.4
01/06/1954,17:20,"Near Aldbury, England",Northern Europe,Military -Royal Air Force,military,weather,17.0,16.0,0.9411764705882353
01/10/1954,09:50,"Off Elba, Italy",Southern Europe,British Overseas Airways,commercial,mechanical,35.0,35.0,1.0
01/11/1954,,"Manizales, Colombia",South America,AVIANCA,commercial,cfit,21.0,21.0,1.0
01/13/1954,,"Long Beach, California",Northern America,Military - U.S. Air Force,military,unknown,1.0,1.0,7.0
01/14/1954,,"Rome, Italy",Southern Europe,Philippine Air Lines,commercial,"fire, mechanical, weather",16.0,16.0,1.0
01/14/1954,,"Prague, Czechoslovakia",Eastern Europe,Ceskoslovenske Aerolinie,commercial,unknown,15.0,15.0,1.0
01/20/1954,,"Kansas City, Missouri",Northern America,Zantop Air Transport,commercial,weather,3.0,3.0,1.0
02/01/1954,13:50,"Off Hokkaido, Japan",Eastern Asia,Military - U.S. Air Force,military,"fire, pilot_error",35.0,35.0,1.0
02/05/1954,,"Susitna Valley, Alaska",Northern America,Military - U.S. Air Force,military,cfit,16.0,10.0,0.625
02/12/1954,,"Off Gozo, Malta",Southern Europe,Military - Royal Air Force,military,cfit,10.0,10.0,1.0
02/25/1954,,"New Delhi, India",Southern Asia,Indian Airlines,commercial,unknown,3.0,3.0,1.0
02/26/1954,10:32,"Wright, Wyoming",Northern America,Western Airlines,commercial,"mechanical, weather, cfit",9.0,9.0,1.0
03/04/1954,14:30,"Near St. Etienne de Tinee, France",Western Europe,Military - U.S. Air Force,military,"weather, cfit",20.0,20.0,1.0
03/13/1954,,"Kallang Airport, Singapore",South-eastern Asia,British Overseas Airways,commercial,"fire, mechanical, pilot_error",40.0,33.0,0.825
03/14/1954,,"Off Mackay, Australia",Australia and New Zealand,Queensland Airlines,commercial,cfit,2.0,2.0,1.0
03/19/1954,22:30,"Near Lothian, Maryland",Northern America,Military - U.S. Air Force,military,"mechanical, weather, pilot_error",18.0,18.0,1.0
03/26/1954,,"Monterrey, Mexico",Central America,Aeronaves de Mexico,commercial,"fire, cfit",18.0,18.0,1.0
04/03/1954,,"Adana, Turkey",Western Asia,Devlet Hava Yollari,commercial,unknown,25.0,25.0,1.0
04/04/1954,,"Hanoi, Vietnam",South-eastern Asia,Autrex,commercial,cfit,4.0,4.0,1.0
04/08/1954,19:10,"Off Stromboli, Italy",Southern Europe,British Overseas Airways,commercial,"mechanical, cfit",21.0,21.0,1.0
04/08/1954,10:03,"Moose Jaw, SK, Canada",Northern America,Trans Canada Air Lines / RCAF,commercial,"mechanical, collision, pilot_error",36.0,36.0,1.0277777777777777
04/13/1954,,"Santiago, Chile",South America,LAN,commercial,unknown,16.0,16.0,1.0
04/13/1954,,"Xieng Kouang, Laos",South-eastern Asia,Societe Indochinoise de Raviteillement,commercial,fire,23.0,16.0,0.6956521739130435
04/23/1954,21:25,"Sierra del Vilgo, Argentina",South America,Aerolineas Argentinas,commercial,"mechanical, cfit",25.0,25.0,1.0
04/30/1954,09:18,"Near Calcutta, India",Southern Asia,Darbhanga Aviation,commercial,"mechanical, pilot_error",11.0,5.0,0.45454545454545453
05/22/1954,09:23,"Paraparaumu, New Zealand",Australia and New Zealand,New Zealand National Airways,commercial,"fuel, mechanical",28.0,3.0,0.10714285714285714
05/31/1954,,"Cipo Mountain, Brazil",South America,Transportes Aereos Nacionales,commercial,"cfit, pilot_error",19.0,19.0,1.0
06/03/1954,,"Near Maribor, Slovenia",Southern Europe,Sabena,commercial,unknown,4.0,1.0,0.25
06/04/1954,,"Sao Paulo, Brazil",South America,Varig,commercial,mechanical,3.0,3.0,1.0
06/08/1954,,"Tourane, Vietnam",South-eastern Asia,Soc. de Tr. Aériens d'Extrême Orient,commercial,unknown,4.0,4.0,1.0
06/19/1954,,"Off Folkestone, England",Northern Europe,Swissair,commercial,fuel,9.0,3.0,0.3333333333333333
07/02/1954,12:00,"Near Salvador, Brazil",South America,Military - Brazilian Air Force,military,mechanical,20.0,20.0,1.0
07/23/1954,09:45,"Off Hainan Island, China",Eastern Asia,Cathay PacifiAirways,commercial,"shot_down, cfit",18.0,10.0,0.5555555555555556
08/08/1954,15:40,"Near McGrath, Alaska",Northern America,Alaska Airlines,commercial,cfit,2.0,2.0,1.0
08/09/1954,00:08,"Terceira Island, Azores, Portugal",Southern Europe,AVIANCA,commercial,"mechanical, weather, cfit, pilot_error",30.0,30.0,1.0
08/12/1954,,Vietnam,South-eastern Asia,Autrex,commercial,unknown,3.0,3.0,1.0
08/16/1954,,"Near Pakse, Laos",South-eastern Asia,Air Vietnam (South Vietnam),commercial,"mechanical, cfit",55.0,47.0,0.8545454545454545
08/22/1954,17:03,"Near Mason City, Iowa",Northern America,Braniff Airlines,commercial,weather,19.0,12.0,0.631578947368421
08/23/1954,11:35,"Near Dutch Coast, North Sea",unknown,KLM Royal Dutch Airlines,commercial,"weather, cfit",21.0,21.0,1.0
05/16/1958,,"Chatenoy, France",Western Europe,British European Airways,commercial,weather,3.0,3.0,1.0
08/27/1954,22:10,"Near Rapid City, South Dekota",Northern America,Military - U.S. Air Force,military,mechanical,27.0,26.0,0.9629629629629629
09/05/1954,02:30,"Foynes, Ireland",Northern Europe,KLM Royal Dutch Airlines,commercial,"mechanical, cfit",56.0,28.0,0.5
09/12/1954,20:08,"Off Rio de Janeiro, Brazil",South America,Cruzeiro,commercial,"mechanical, weather, cfit",30.0,6.0,0.2
09/15/1954,,"Cairo, Egypt",Northern Africa,Misrair,commercial,pilot_error,4.0,3.0,0.75
10/24/1954,17:50,"Nar Limone Piemonte, Italy",Southern Europe,Military - U.S. Air Force,military,cfit,21.0,21.0,1.0
10/30/1954,,"Off Ocean City, Maryland",Northern America,Military - U.S. Navy,military,cfit,42.0,42.0,1.0
10/30/1954,23:00,Off the coast of Maryland,unknown,Military - U. S. Navy,military,undetermined,42.0,42.0,1.0
10/31/1954,15:10,"Mangalore, Australia",Australia and New Zealand,TAA,commercial,pilot_error,8.0,3.0,0.375
11/16/1954,,"Jirishanga,Cerro de Pasco, Peru",South America,TAM (Brazil),commercial,undetermined,24.0,24.0,1.0
11/30/1954,11:15,"Berlin, New Hampshire",Northern America,Northeast Airlines,commercial,"cfit, pilot_error",7.0,2.0,0.2857142857142857
12/04/1954,,"Near Luang Pragang, Laos",South-eastern Asia,Air Laos,commercial,unknown,28.0,28.0,1.0
12/12/1954,,"Bratislava, Slovakia",Eastern Europe,Ceskoslovenské Aerolinie,commercial,unknown,4.0,4.0,1.0
12/18/1954,,"Near Bolivar, Venezuela",South America,Linea Aeropostal Venezolana,commercial,cfit,2.0,2.0,1.0
12/18/1954,14:00,"New York, New York",Northern America,Linee Aeree Italiane,commercial,mechanical,32.0,26.0,0.8125
12/22/1954,23:00,"Pittsburgh, Pennsylvania",Northern America,Johnson Flying Service,commercial,"fuel, cfit, pilot_error",28.0,10.0,0.35714285714285715
12/25/1954,,"Prestwick, Ayrshire, Scotland",Northern Europe,British Overseas Airways,commercial,pilot_error,36.0,28.0,0.7777777777777778
12/29/1954,,"Near Moscow, Russia",Eastern Europe,Aeroflot,commercial,unknown,45.0,45.0,1.0
12/31/1954,,"Irkutsk, Russia",Eastern Europe,Aeroflot,commercial,unknown,17.0,17.0,1.0
01/11/1955,21:00,"Off Skellings, Ireland",Northern Europe,Military -Royal Air Force,military,collision,18.0,18.0,1.0
01/12/1955,09:05,"Greater Cincinnati Airport, Covington, Kentucky",Northern America,Trans World Airlines / Castleton Inc.,commercial,collision,15.0,15.0,1.0
01/19/1955,16:25,"Des Moines, Iowa",Northern America,United Air Lines,commercial,"mechanical, pilot_error",39.0,0.0,0.0
01/31/1955,,"Lapadrera, Colombia",South America,Interamericana de Aviacion,commercial,cfit,5.0,5.0,1.0
02/02/1955,03:50,"Nagpur, India",Southern Asia,Indian Airlines,commercial,unknown,10.0,10.0,1.0
02/05/1955,10:04,"Near Calabar, Nigeria",Western Africa,West African Airways,commercial,mechanical,13.0,13.0,1.0
02/13/1955,18:53,"Rome, Italy",Southern Europe,Sabena,commercial,"mechanical, cfit, pilot_error",29.0,29.0,1.0
02/19/1955,07:31,"Albuquerque, New Mexico",Northern America,Trans World Airlines,commercial,cfit,16.0,16.0,1.0
02/23/1955,09:20,"Salisbury,  Zimbabwe",Eastern Africa,Central African Airways,commercial,"fire, mechanical",26.0,1.0,0.038461538461538464
03/06/1955,,"Vitoria da Conquista, Brazil",South America,REAL,commercial,"fire, mechanical, pilot_error",21.0,5.0,0.23809523809523808
03/08/1955,,"Mascota, Mexico",Central America,Mexicana,commercial,unknown,26.0,26.0,1.0
03/09/1955,,"Trujillo, Colombia",South America,AVIANCA,commercial,undetermined,8.0,8.0,1.0
03/20/1955,22:36,"Springfield, Mississippi",Northern America,American Airlines,commercial,unknown,35.0,13.0,0.37142857142857144
03/22/1955,02:00,"Oahu, Hawaii",Northern America,Military - U.S. Navy,military,"cfit, pilot_error",66.0,66.0,1.0
03/26/1955,11:12,Off the Oregon coast,unknown,Pan American World Airways,commercial,"mechanical, pilot_error",23.0,4.0,0.17391304347826086
04/02/1955,,"Off Pensacola, Florida",Northern America,Aaxico Airlines,commercial,"weather, cfit",2.0,2.0,1.0
04/04/1955,15:55,"Islip, New York",Northern America,United Air Lines,commercial,mechanical,3.0,3.0,1.0
04/11/1955,17:30,"Off Great Natuna Island, Sarawak",South-eastern Asia,Air India,commercial,"fire, mechanical, cfit",19.0,19.0,1.0
04/18/1955,,"Kupe Mountains, Cameroons",Middle Africa,Union des Transportes Aeriens,commercial,cfit,14.0,12.0,0.8571428571428571
05/18/1955,11:56,"Mt. Kilimanjaro, Kenya",Eastern Africa,East African Airways,commercial,"mechanical, cfit, pilot_error",20.0,20.0,1.0
05/21/1955,,"Off Barcelona, Venezuela",South America,Linea Aeropostal Venezolana,commercial,cfit,13.0,4.0,0.3076923076923077
05/26/1955,14:30,"Edmonton, Alberta, Canada",Northern America,Associated Airways,commercial,weather,2.0,2.0,1.0
06/03/1955,,"Fort Lamy, Cameroon",Middle Africa,Union Aéromaritime de Transport,commercial,unknown,3.0,3.0,1.0
06/16/1955,01:15,"Near Asuncion, Paraguay",South America,Panair do Brasil,commercial,"mechanical, pilot_error",24.0,16.0,0.6666666666666666
06/18/1955,,"Leon, Mexico",Central America,Tigres Voladores,commercial,"fire, mechanical, cfit",18.0,18.0,1.0
07/14/1955,,"Oaxaca, Mexico",Central America,Lineas Areas Unidas,commercial,cfit,22.0,22.0,1.0
07/17/1955,06:24,"Chicago, Illinois",Northern America,Braniff Airlines,commercial,unknown,43.0,22.0,0.5116279069767442
07/27/1955,07:40,"Near Petrich, Bulgaria",Eastern Europe,El Al,commercial,"shot_down, weather, pilot_error",58.0,58.0,1.0
08/04/1955,12:23,"Fort Leonard Wood, Missouri",Northern America,American Airlines,commercial,"fire, mechanical",30.0,30.0,1.0
08/06/1955,,"Near Voronezh, Russia",Eastern Europe,Aeroflot,commercial,unknown,25.0,25.0,1.0
08/11/1955,14:20,"Near Edelweiler, West Germany",Western Europe,Military - U.S. Air Force / Military - U.S. Air Force,military,"mechanical, collision",66.0,66.0,1.0
08/26/1955,,"Caparao Mountain, Brazil",South America,Cruzeiro,commercial,"mechanical, cfit",13.0,13.0,1.0
08/30/1955,,"Simra, Nepal",Southern Asia,Kalinga Airlines,commercial,pilot_error,3.0,2.0,0.6666666666666666
09/02/1955,,"Meikitila, Myanmar",South-eastern Asia,Union of Burma Airways,commercial,cfit,9.0,9.0,1.0
09/08/1955,,"Burbank, California",Northern America,Currey Air Transport,commercial,"mechanical, pilot_error",33.0,3.0,0.09090909090909091
09/10/1955,,"Sombolabo, French Equitorial Africa",Middle Africa,Societe France Hydro,commercial,"mechanical, weather, cfit",16.0,16.0,1.0
09/17/1955,,"Near Thorhild, Canada",Northern America,PacifiWestern Airlines,commercial,"mechanical, cfit, pilot_error",6.0,2.0,0.3333333333333333
09/21/1955,22:23,"Idris, Libya",Northern Africa,British Overseas Airways,commercial,"mechanical, cfit, pilot_error",47.0,15.0,0.3191489361702128
09/24/1955,06:41,PacifiOcean,unknown,Flying Tiger Line,commercial,mechanical,5.0,3.0,0.6
10/02/1955,,"Pico Oiriruma-Vinac, Peru",South America,Faucett,commercial,"fire, mechanical, cfit",35.0,19.0,0.5428571428571428
10/06/1955,07:26,"Near Centennial, Wyoming",Northern America,United Air Lines,commercial,"mechanical, cfit, pilot_error",66.0,66.0,1.0
10/10/1955,16:40,"Near Wien, Austria",Western Europe,JAT Yugoslav Airlines,commercial,"cfit, pilot_error",29.0,7.0,0.2413793103448276
11/01/1955,19:03,"Longmont, Colorado",Northern America,United Air Lines,commercial,"sabotage, cfit",44.0,44.0,1.0
11/17/1955,23:59,"Seattle, Washingon",Northern America,Peninsular,commercial,"mechanical, pilot_error",74.0,28.0,0.3783783783783784
11/17/1955,,"Near Las Vegas, Nevada",Northern America,Military - U.S. Air Force,military,cfit,14.0,14.0,1.0
11/20/1955,17:00,"Iwo Jima, Japan",Eastern Asia,Military - US Air Force,military,unknown,11.0,10.0,0.9090909090909091
11/30/1955,22:00,"Near Ballico, California",Northern America,Military - U.S. Air Force,military,cfit,10.0,10.0,1.0
12/01/1955,02:00,"Belem, Brazil",South America,Cruzeiro,commercial,"fire, mechanical, cfit",6.0,6.0,1.0
12/17/1955,20:17,"Hollywood, South Carolina",Northern America,Riddle Airlines,commercial,mechanical,2.0,2.0,1.0
12/19/1955,,"Sao Paulo, Brazil",South America,Cruzeiro Do Sud,commercial,unknown,26.0,26.0,1.0
12/21/1955,03:43,"Jacksonville, Florida",Northern America,Eastern Air Lines,commercial,"weather, pilot_error",17.0,17.0,1.0
01/12/1956,,"Frederick Henry Bay,  Australia",Australia and New Zealand,Ansett ANA,commercial,pilot_error,2.0,1.0,0.5
01/17/1956,00:52,"Oreway, Canada",Northern America,Quebecair,commercial,"mechanical, weather, pilot_error",18.0,4.0,0.2222222222222222
01/18/1956,,"Torysa, Czechoslovakia",Eastern Europe,Ceskoslovenske Aerolinie,commercial,cfit,26.0,22.0,0.8461538461538461
01/28/1956,,"Lyon, France",Western Europe,Air France,commercial,unknown,3.0,3.0,1.0
02/13/1956,,"Frobisher Bay, Canada",Northern America,Maritime Central Airways,commercial,pilot_error,2.0,2.0,1.0
02/14/1956,,"Near Fort Chimo, Quebec, Canada",Northern America,Spartan Air Services,commercial,unknown,3.0,2.0,0.6666666666666666
02/17/1956,13:45,"Near Niles, California",Northern America,Military - U.S. Marine Corps,military,cfit,40.0,40.0,1.0
02/18/1956,13:23,"Near Zurrieg, Malta",Southern Europe,Scottish Airlines,commercial,mechanical,50.0,50.0,1.0
02/20/1956,02:40,"Near Cairo, Egypt",Northern Africa,Transport Aerien Intercontinentaux (France),commercial,"mechanical, pilot_error",64.0,52.0,0.8125
02/24/1956,,"Near Aleppo, Syria",Western Asia,Syrian Airways,commercial,"mechanical, weather",19.0,19.0,1.0
02/25/1956,14:55,"Jalkot, Pakistan",Southern Asia,Pakistan International Airlines,commercial,cfit,3.0,3.0,1.0
03/21/1956,,"Tezpur, India",Southern Asia,Indian Airlines,commercial,"mechanical, pilot_error",21.0,2.0,0.09523809523809523
03/28/1956,,"Largs, England",Northern Europe,Starways,commercial,unknown,3.0,1.0,0.3333333333333333
03/31/1956,,"Indapur, India",Southern Asia,National Air Operators,commercial,"weather, cfit",3.0,3.0,1.0
03/31/1956,,"Korat ,Thailand",South-eastern Asia,Military - Royal Thai Air Force,military,unknown,18.0,18.0,1.0
04/01/1956,19:20,"Pittsburgh, Pennsylvania",Northern America,Trans World Airlines,commercial,"fire, mechanical",36.0,22.0,0.6111111111111112
04/02/1956,08:10,"Seattle, Washington",Northern America,Northwest Orient Airlines,commercial,"mechanical, weather",38.0,5.0,0.13157894736842105
04/09/1956,09:51,"Skilak Lake, Alaska",Northern America,Cordova Airlines,commercial,"weather, cfit",6.0,6.0,1.0
04/18/1956,,"Parintins, Brazil",South America,Panair do Brasil,commercial,cfit,12.0,3.0,0.25
04/30/1956,09:30,"London, England",Northern Europe,Scottish Airlines,commercial,unknown,54.0,2.0,0.037037037037037035
05/15/1956,,"Kathmandu, Nepal",Southern Asia,Indian Airlines,commercial,pilot_error,33.0,14.0,0.45454545454545453
05/15/1956,22:17,"Orleans, Ontario, Canada",Northern America,Military - Royal Canadian Air Force,military,unknown,2.0,2.0,7.5
05/24/1956,,"Guatemala City, Guatemala",Central America,Aviateca,commercial,"weather, cfit",31.0,30.0,0.967741935483871
06/20/1956,01:30,"Asbury Park, New Jersey",Northern America,Linea Aeropostal Venezolana,commercial,"fire, mechanical",74.0,74.0,1.0
06/24/1956,17:25,"Kano, Nigeria",Western Africa,British Overseas Airways,commercial,weather,45.0,32.0,0.7111111111111111
06/30/1956,10:32,"Grand Canyon, Arizona",Northern America,United Air Lines / Trans World Airlines,commercial,"weather, collision, pilot_error",128.0,128.0,1.0
07/09/1956,13:53,"Near Flat Rock, Michigan",Northern America,Trans Canada Air Lines,commercial,"mechanical, pilot_error",35.0,1.0,0.02857142857142857
07/13/1956,15:35,"Near Brows Mills, New Jersey",Northern America,Military - U.S. Air Force,military,"weather, cfit",66.0,46.0,0.696969696969697
07/16/1956,07:15,"Rio Cuarto, Argentina",South America,Aerolineas Argentinas,commercial,"weather, pilot_error",18.0,18.0,1.0
08/08/1956,,"Thazi, Burma",South-eastern Asia,Union of Burma Airways,commercial,unknown,20.0,12.0,0.6
08/29/1956,20:45,"Cold Bay, Alaska",Northern America,Canadian PacifiAir Lines,commercial,unknown,22.0,15.0,0.6818181818181818
09/09/1956,,"Amman, Jordan",Western Asia,Jordan International Airlines,commercial,"fire, mechanical, cfit",57.0,1.0,0.017543859649122806
09/09/1956,,"Bartlesville, Oklahoma",Northern America,Continental Airlines,commercial,"mechanical, collision",18.0,0.0,0.0
10/02/1956,18:25,"Near Nome, Alaska",Northern America,Alaska Airlines,commercial,"weather, pilot_error",5.0,5.0,1.0
10/10/1956,22:10,"Off Land's End, England",Northern Europe,Military - U.S. Navy,military,undetermined,59.0,59.0,1.0
10/16/1956,06:15,Over the PacifiOcean,unknown,Pan American World Airways,commercial,"mechanical, cfit",31.0,0.0,0.0
10/19/1956,,"Agartala, India",Southern Asia,Indian Airlines,commercial,unknown,3.0,3.0,1.0
10/28/1956,22:00,Over the Mediterranean Sea,unknown,Military - Egyptian Air Force,military,undetermined,23.0,23.0,1.0
11/05/1956,23:52,"Blackbushe, England",Northern Europe,Britavia,commercial,unknown,80.0,5.0,0.0625
11/07/1956,09:50,"Hommelfjell, Norway",Northern Europe,Braathens,commercial,"mechanical, cfit",12.0,2.0,0.16666666666666666
11/15/1956,14:53,"Puerto Somoza, Nicaragua",Central America,Aerovias Guest,commercial,"fire, cfit",25.0,25.0,1.0
10/18/1957,,"Porto Alegre, Brazil",South America,Varig,commercial,"mechanical, weather",2.0,2.0,1.0
11/17/1956,17:00,"El Rucio Mountain, Colombia",South America,Empresa Aviacion del Pacifico,commercial,"weather, cfit",36.0,36.0,1.0
11/24/1956,,"Near Eglisau, Switzerland",Western Europe,Ceskoslovenske Aerolinie,commercial,unknown,23.0,23.0,1.0
11/24/1956,23:17,"Paris, France",Western Europe,Linee Aeree Italiane,commercial,"mechanical, pilot_error",35.0,34.0,1.2
11/27/1956,07:50,"Caracas, Venezuela",South America,Linea Aeropostal Venezolana,commercial,"cfit, pilot_error",25.0,25.0,1.0
12/08/1956,06:47,"Caqueta, Colombia",South America,AIDA,commercial,"mechanical, weather, cfit, pilot_error",16.0,14.0,0.875
12/09/1956,19:15,"Near Chilliwack, British Columbia, Canada",Northern America,Trans Canada Air Lines,commercial,"fire, mechanical, weather, cfit",62.0,62.0,1.0
12/12/1956,09:00,"Dannemois, France",Western Europe,Air France,commercial,unknown,5.0,5.0,1.0
12/22/1956,21:30,"Grub, Germany",Western Europe,JAT Yugoslav Airlines,commercial,mechanical,30.0,3.0,0.1
12/22/1956,17:20,"Mt. Giner, Italy",Southern Europe,Linee Aeree Italiane,commercial,cfit,21.0,21.0,1.0
12/30/1956,15:00,"Dhahran, Saudi Arabia",Western Asia,Military - U.S. Air Force,military,fire,37.0,11.0,0.2972972972972973
01/06/1957,00:01,"Owasso, Oklahoma",Northern America,American Airlines,commercial,cfit,10.0,1.0,0.1
01/11/1957,09:00,"Near Buenos Aires, Argentina",South America,Fuerza Aérea Argentina,commercial,fire,33.0,17.0,0.5454545454545454
01/23/1957,c16:50,"Ometepe Island, Nicaragua",Central America,Lanica,commercial,cfit,16.0,16.0,1.0
01/29/1957,19:24,"Paris, France",Western Europe,Air France,commercial,"mechanical, pilot_error",70.0,2.0,0.02857142857142857
01/31/1957,11:18,"Near Sunland, California",Northern America,Douglas Aircraft,commercial,"collision, cfit",6.0,5.0,1.3333333333333333
02/01/1957,18:02,"New York, New York",Northern America,Northeast Airlines,commercial,"mechanical, weather, pilot_error",101.0,21.0,0.2079207920792079
02/22/1957,20:00,"Kimpo Air Base, South Korea",Eastern Asia,Military - U.S. Air Force,military,"mechanical, cfit",159.0,22.0,0.13836477987421383
03/02/1957,17:19,"Blyn, Washington",Northern America,Alaska Airlines,commercial,"cfit, pilot_error",5.0,5.0,1.0
03/05/1957,11:00,"Drayton, England",Northern Europe,Military -Royal Air Force,military,"fuel, cfit",22.0,18.0,0.9090909090909091
03/09/1957,10:00,"El Soldado, Colombia",South America,AVIANCA,commercial,pilot_error,15.0,15.0,1.0
03/14/1957,13:46,"Manchester, England",Northern Europe,British European Airways,commercial,mechanical,20.0,20.0,1.1
03/17/1957,01:30,"Near Cebu, Philippines",South-eastern Asia,Military - Philippine Air Force,military,"mechanical, cfit",25.0,24.0,0.96
03/18/1957,,"Near Sayari, Bolivia",South America,Lloyd Aereo Boliviano,commercial,cfit,19.0,19.0,1.0
03/22/1957,01:00,Over the North PacifiOcean,unknown,Military - U.S. Air Force,military,undetermined,67.0,67.0,1.0
04/07/1957,,"Bage, Brazil",South America,Varig,commercial,"fire, mechanical",40.0,40.0,1.0
04/08/1957,,"Algiers, Algeria",Northern Africa,Air France,commercial,mechanical,34.0,34.0,1.0
04/10/1957,15:20,"Anchieta Island, Brazil",South America,REAL,commercial,"fire, mechanical, weather, cfit, pilot_error",30.0,26.0,0.8666666666666667
04/15/1957,07:53,"Merida, Mexico",Central America,Transportes Aéreos Mexicanos,commercial,pilot_error,3.0,3.0,1.3333333333333333
04/17/1957,08:30,"Near El Quweira, Jordan",Western Asia,Military -Royal Air Force,military,"fire, mechanical, weather",24.0,24.0,1.0
04/20/1957,,"Jirkouk, Iraq",Western Asia,Air France,commercial,sabotage,,1.0,
05/01/1957,21:20,"Blackbushe, Hants, England",Northern Europe,Eagle Aviation,commercial,"mechanical, pilot_error",35.0,34.0,0.9714285714285714
05/05/1957,,"Santoshpur, India",Southern Asia,Indian Airlines,commercial,weather,3.0,1.0,0.3333333333333333
05/09/1957,19:04,"Barajas, Madrid, Spain",Southern Europe,Aviaco,commercial,unknown,37.0,37.0,1.0
